"","closestSp","predVal","lcl_predInt","ucl_predInt"
"Pontinus_furcirhinus","Sebastes_alutus",3.71371143115129,0.387168480108366,15.0175752079016
"Pontinus_kuhlii","Sebastes_alutus",3.71371340622248,0.38717049344396,15.017565382924
"Pontinus_longispinis","Sebastes_alutus",3.71371340622248,0.38717049344396,15.017565382924
"Trachyscorpia_cristulata","Sebastolobus_macrochir",3.07749199248711,0.482291116327239,10.2163803490853
"Sebastolobus_alascanus","Sebastolobus_macrochir",3.07749199791295,0.48229148819113,10.216377565072
"Sebastolobus_altivelis","Sebastolobus_macrochir",3.07749199791295,0.48229148819113,10.216377565072
"Sebastiscus_albofasciatus","Sebastiscus_marmoratus",2.59083522518559,0.35122909116145,8.54249556849795
"Hozukius_emblemarius","Sebastes_alutus",2.70233283221064,0.331733261288051,9.29280322037402
"Helicolenus_dactylopterus","Sebastes_alutus",2.70233283221064,0.331733261288051,9.29280322037402
"Helicolenus_hilgendorfii","Sebastes_alutus",2.70233278676751,0.331733577531524,9.29280052349603
"Helicolenus_lengerichi","Sebastes_alutus",2.70233278676751,0.331733577531524,9.29280052349603
"Helicolenus_avius","Sebastes_alutus",2.70233283221064,0.331733261288051,9.29280322037402
"Sebastes_proriger","Sebastes_alutus",2.53135932917846,0.322615998551562,8.42866162622605
"Sebastes_zacentrus","Sebastes_alutus",2.53135926823016,0.322616305203787,8.42865911470343
"Sebastes_variegatus","Sebastes_alutus",2.53135932917846,0.322615998551562,8.42866162622605
"Sebastes_wilsoni","Sebastes_alutus",2.53135932917846,0.322615998551562,8.42866162622605
"Sebastes_emphaeus","Sebastes_alutus",2.53135932917846,0.322615998551562,8.42866162622605
"Sebastes_ciliatus","Sebastes_alutus",2.55183958497435,0.357142556661414,8.29568111726242
"Sebastes_variabilis","Sebastes_alutus",2.5518396384755,0.35714223924773,8.29568357141301
"Sebastes_crameri","Sebastes_alutus",2.55183840537991,0.357145021811636,8.29565805803964
"Sebastes_reedi","Sebastes_alutus",2.55183958497435,0.357142556661414,8.29568111726242
"Sebastes_polyspinis","Sebastes_alutus",2.5518396384755,0.35714223924773,8.29568357141301
"Sebastes_baramenuke","Sebastes_alutus",2.55183958497435,0.357142556661414,8.29568111726242
"Sebastes_viviparus","Sebastes_alutus",2.55556129031484,0.364348956132529,8.26596970105155
"Sebastes_fasciatus","Sebastes_alutus",2.55556123817196,0.364349275744744,8.26596725863337
"Sebastes_mentella","Sebastes_alutus",2.55555741992789,0.364354325304574,8.26591306373594
"Sebastes_marinus","Sebastes_alutus",2.55556129031484,0.364348956132529,8.26596970105155
"Sebastes_norvegicus","Sebastes_alutus",2.55556129031484,0.364348956132529,8.26596970105155
"Sebastes_macdonaldi","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_ruberrimus","Sebastes_alutus",2.54317850332587,0.340585860895195,8.36464740725176
"Sebastes_diploproa","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_sinensis","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_melanosema","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_cortezi","Sebastes_alutus",2.5431770510978,0.34058840251997,8.36462197631095
"Sebastes_gilli","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_phillipsi","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_aurora","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_melanostomus","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_elongatus","Sebastes_alutus",2.54317429626425,0.340590147558917,8.36459522439981
"Sebastes_maliger","Sebastes_alutus",2.54317383254495,0.340586312537959,8.36461956251383
"Sebastes_rastrelliger","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_dallii","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_auriculatus","Sebastes_alutus",2.54317850332587,0.340585860895194,8.36464740725176
"Sebastes_nebulosus","Sebastes_alutus",2.54317850332587,0.340585860895194,8.36464740725176
"Sebastes_atrovirens","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_chrysomelas","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_carnatus","Sebastes_alutus",2.54317850332587,0.340585860895194,8.36464740725176
"Sebastes_caurinus","Sebastes_alutus",2.54317778903086,0.340585331687959,8.36464732824913
"Sebastes_saxicola","Sebastes_alutus",2.54317850332587,0.340585860895195,8.36464740725176
"Sebastes_semicinctus","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_mystinus","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_entomelas","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_flavidus","Sebastes_alutus",2.54317850332587,0.340585860895195,8.36464740725176
"Sebastes_serranoides","Sebastes_alutus",2.54317850332587,0.340585860895195,8.36464740725176
"Sebastes_melanops","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_pinniger","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_miniatus","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_jordani","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_paucispinis","Sebastes_alutus",2.54317850332587,0.340585860895195,8.36464740725176
"Sebastes_moseri","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_rufinanus","Sebastes_alutus",2.54317855998231,0.340585548505184,8.36464988893601
"Sebastes_hopkinsi","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
"Sebastes_ovalis","Sebastes_alutus",2.54317855998231,0.340585548505184,8.364649888936
