"type","class","order","family","genus","species","sciname"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","polli","Merluccius polli"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","magellanicus","Macruronus magellanicus"
"fish","Actinopterygii","Gadiformes","Macrouridae","Macrourus","berglax","Macrourus berglax"
"fish","Actinopterygii","Gadiformes","Macrouridae","Coryphaenoides","rupestris","Coryphaenoides rupestris"
"fish","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","atlanticus","Hoplostethus atlanticus"
"fish","Actinopterygii","Zeiformes","Zeidae","Zenopsis","conchifer","Zenopsis conchifer"
"fish","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia","menidia","Menidia menidia"
"fish","Actinopterygii","Perciformes","Polynemidae","Eleutheronema","tetradactylum","Eleutheronema tetradactylum"
"fish","Actinopterygii","Perciformes","Polynemidae","Galeoides","decadactylus","Galeoides decadactylus"
"fish","Actinopterygii","Perciformes","Polynemidae","Pentanemus","quinquarius","Pentanemus quinquarius"
"fish","Actinopterygii","Perciformes","Centropomidae","Centropomus","undecimalis","Centropomus undecimalis"
"fish","Actinopterygii","Perciformes","Latidae","Lates","calcarifer","Lates calcarifer"
"fish","Actinopterygii","Perciformes","Latidae","Lates","niloticus","Lates niloticus"
"fish","Actinopterygii","Perciformes","Polyprionidae","Polyprion","americanus","Polyprion americanus"
"fish","Actinopterygii","Perciformes","Serranidae","Acanthistius","brasilianus","Acanthistius brasilianus"
"fish","Actinopterygii","Perciformes","Serranidae","Paralabrax","humeralis","Paralabrax humeralis"
"fish","Actinopterygii","Perciformes","Moronidae","Morone","saxatilis","Morone saxatilis"
"fish","Actinopterygii","Perciformes","Priacanthidae","Priacanthus","macracanthus","Priacanthus macracanthus"
"fish","Actinopterygii","Perciformes","Serranidae","Centropristis","striata","Centropristis striata"
"fish","Actinopterygii","Perciformes","Malacanthidae","Lopholatilus","chamaeleonticeps","Lopholatilus chamaeleonticeps"
"fish","Actinopterygii","Perciformes","Lactariidae","Lactarius","lactarius","Lactarius lactarius"
"fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","saltatrix","Pomatomus saltatrix"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","japonicus","Trachurus japonicus"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","murphyi","Trachurus murphyi"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","symmetricus","Trachurus symmetricus"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","lathami","Trachurus lathami"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","trecae","Trachurus trecae"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","declivis","Trachurus declivis"
"fish","Actinopterygii","Perciformes","Carangidae","Decapterus","russelli","Decapterus russelli"
"fish","Actinopterygii","Perciformes","Carangidae","Selene","setapinnis","Selene setapinnis"
"fish","Actinopterygii","Perciformes","Carangidae","Selene","dorsalis","Selene dorsalis"
"fish","Actinopterygii","Perciformes","Carangidae","Trachinotus","carolinus","Trachinotus carolinus"
"fish","Actinopterygii","Perciformes","Carangidae","Seriola","quinqueradiata","Seriola quinqueradiata"
"fish","Actinopterygii","Perciformes","Carangidae","Seriola","lalandi","Seriola lalandi"
"fish","Actinopterygii","Perciformes","Carangidae","Megalaspis","cordyla","Megalaspis cordyla"
"fish","Actinopterygii","Perciformes","Carangidae","Chloroscombrus","chrysurus","Chloroscombrus chrysurus"
"fish","Actinopterygii","Perciformes","Carangidae","Parona","signata","Parona signata"
"fish","Actinopterygii","Perciformes","Carangidae","Selar","crumenophthalmus","Selar crumenophthalmus"
"fish","Actinopterygii","Perciformes","Carangidae","Selaroides","leptolepis","Selaroides leptolepis"
"fish","Actinopterygii","Perciformes","Menidae","Mene","maculata","Mene maculata"
"fish","Actinopterygii","Perciformes","Bramidae","Brama","brama","Brama brama"
"fish","Actinopterygii","Perciformes","Arripidae","Arripis","georgianus","Arripis georgianus"
"fish","Actinopterygii","Perciformes","Moronidae","Dicentrarchus","punctatus","Dicentrarchus punctatus"
"fish","Actinopterygii","Perciformes","Nemipteridae","Nemipterus","virgatus","Nemipterus virgatus"
"fish","Actinopterygii","Perciformes","Haemulidae","Plectorhinchus","mediterraneus","Plectorhinchus mediterraneus"
"fish","Actinopterygii","Perciformes","Haemulidae","Pomadasys","argenteus","Pomadasys argenteus"
"fish","Actinopterygii","Perciformes","Haemulidae","Brachydeuterus","auritus","Brachydeuterus auritus"
"fish","Actinopterygii","Perciformes","Haemulidae","Conodon","nobilis","Conodon nobilis"
"fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","nebulosus","Cynoscion nebulosus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","regalis","Cynoscion regalis"
"fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","striatus","Cynoscion striatus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","undulatus","Micropogonias undulatus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus","saxatilis","Menticirrhus saxatilis"
"fish","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus","littoralis","Menticirrhus littoralis"
"fish","Actinopterygii","Perciformes","Carangidae","Elagatis","bipinnulata","Elagatis bipinnulata"
"fish","Actinopterygii","Perciformes","Sciaenidae","Umbrina","canosai","Umbrina canosai"
"fish","Actinopterygii","Perciformes","Sciaenidae","Larimichthys","polyactis","Larimichthys polyactis"
"fish","Actinopterygii","Perciformes","Sciaenidae","Macrodon","ancylodon","Macrodon ancylodon"
"fish","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","regius","Argyrosomus regius"
"fish","Actinopterygii","Perciformes","Sciaenidae","Argyrosomus","hololepidotus","Argyrosomus hololepidotus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","aequidens","Atractoscion aequidens"
"fish","Actinopterygii","Perciformes","Sciaenidae","Genyonemus","lineatus","Genyonemus lineatus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Pteroscion","peli","Pteroscion peli"
"fish","Actinopterygii","Perciformes","Sciaenidae","Paralonchurus","peruanus","Paralonchurus peruanus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Pogonias","cromis","Pogonias cromis"
"fish","Actinopterygii","Perciformes","Serranidae","Epinephelus","aeneus","Epinephelus aeneus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Larimichthys","crocea","Larimichthys crocea"
"fish","Actinopterygii","Perciformes","Sciaenidae","Leiostomus","xanthurus","Leiostomus xanthurus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","senegalensis","Pseudotolithus senegalensis"
"fish","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","elongatus","Pseudotolithus elongatus"
"fish","Actinopterygii","Perciformes","Sciaenidae","Pennahia","argentata","Pennahia argentata"
"fish","Actinopterygii","Perciformes","Sparidae","Pagellus","bellottii","Pagellus bellottii"
"fish","Actinopterygii","Perciformes","Sparidae","Dentex","macrophthalmus","Dentex macrophthalmus"
"fish","Actinopterygii","Perciformes","Sparidae","Dentex","dentex","Dentex dentex"
"fish","Actinopterygii","Perciformes","Sparidae","Dentex","angolensis","Dentex angolensis"
"fish","Actinopterygii","Perciformes","Sparidae","Archosargus","probatocephalus","Archosargus probatocephalus"
"fish","Actinopterygii","Perciformes","Sparidae","Argyrops","spinifer","Argyrops spinifer"
"fish","Actinopterygii","Perciformes","Sparidae","Argyrozona","argyrozona","Argyrozona argyrozona"
"fish","Actinopterygii","Perciformes","Sparidae","Cheimerius","nufar","Cheimerius nufar"
"fish","Actinopterygii","Perciformes","Sparidae","Pagrus","major","Pagrus major"
"fish","Actinopterygii","Perciformes","Sparidae","Petrus","rupestris","Petrus rupestris"
"fish","Actinopterygii","Perciformes","Sparidae","Pterogymnus","laniarius","Pterogymnus laniarius"
"fish","Actinopterygii","Perciformes","Sparidae","Rhabdosargus","globiceps","Rhabdosargus globiceps"
"fish","Actinopterygii","Perciformes","Sparidae","Stenotomus","chrysops","Stenotomus chrysops"
"fish","Actinopterygii","Perciformes","Mullidae","Pseudupeneus","prayensis","Pseudupeneus prayensis"
"fish","Actinopterygii","Perciformes","Drepaneidae","Drepane","punctata","Drepane punctata"
"fish","Actinopterygii","Perciformes","Drepaneidae","Drepane","africana","Drepane africana"
"fish","Actinopterygii","Perciformes","Labridae","Tautoga","onitis","Tautoga onitis"
"fish","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","bergi","Nemadactylus bergi"
"fish","Actinopterygii","Perciformes","Trichodontidae","Arctoscopus","japonicus","Arctoscopus japonicus"
"fish","Actinopterygii","Perciformes","Pinguipedidae","Parapercis","colias","Parapercis colias"
"fish","Actinopterygii","Perciformes","Percophidae","Percophis","brasiliensis","Percophis brasiliensis"
"fish","Actinopterygii","Perciformes","Eleginopsidae","Eleginops","maclovinus","Eleginops maclovinus"
"fish","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","eleginoides","Dissostichus eleginoides"
"fish","Actinopterygii","Perciformes","Channichthyidae","Champsocephalus","gunnari","Champsocephalus gunnari"
"fish","Actinopterygii","Perciformes","Channichthyidae","Channichthys","rhinoceratus","Channichthys rhinoceratus"
"fish","Actinopterygii","Perciformes","Zoarcidae","Zoarces","viviparus","Zoarces viviparus"
"fish","Actinopterygii","Gadiformes","Gadidae","Trisopterus","minutus","Trisopterus minutus"
"fish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","blacodes","Genypterus blacodes"
"fish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","maculatus","Genypterus maculatus"
"fish","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","capensis","Genypterus capensis"
"fish","Actinopterygii","Ophidiiformes","Ophidiidae","Brotula","barbata","Brotula barbata"
"fish","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","personatus","Ammodytes personatus"
"fish","Actinopterygii","Perciformes","Gempylidae","Thyrsites","atun","Thyrsites atun"
"fish","Actinopterygii","Perciformes","Stromateidae","Pampus","argenteus","Pampus argenteus"
"fish","Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe","antarctica","Hyperoglyphe antarctica"
"fish","Actinopterygii","Perciformes","Centrolophidae","Psenopsis","anomala","Psenopsis anomala"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","norvegicus","Sebastes norvegicus"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","entomelas","Sebastes entomelas"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","flavidus","Sebastes flavidus"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","alutus","Sebastes alutus"
"fish","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys","kumu","Chelidonichthys kumu"
"fish","Actinopterygii","Scorpaeniformes","Triglidae","Pterygotrigla","polyommata","Pterygotrigla polyommata"
"fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Ophiodon elongatus"
"fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","azonus","Pleurogrammus azonus"
"fish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","fimbria","Anoplopoma fimbria"
"fish","Actinopterygii","Pleuronectiformes","Psettodidae","Psettodes","erumei","Psettodes erumei"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","hippoglossoides","Reinhardtius hippoglossoides"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","Atheresthes stomias"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","evermanni","Atheresthes evermanni"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","elassodon","Hippoglossoides elassodon"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","aspera","Limanda aspera"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","ferruginea","Limanda ferruginea"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","americanus","Pseudopleuronectes americanus"
"fish","Actinopterygii","Pleuronectiformes","Soleidae","Solea","solea","Solea solea"
"fish","Actinopterygii","Pleuronectiformes","Soleidae","Dicologlossa","cuneata","Dicologlossa cuneata"
"fish","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus","microlepis","Austroglossus microlepis"
"fish","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus","pectoralis","Austroglossus pectoralis"
"fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","rhombus","Scophthalmus rhombus"
"fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","aquosus","Scophthalmus aquosus"
"fish","Actinopterygii","Tetraodontiformes","Monacanthidae","Stephanolepis","cirrhifer","Stephanolepis cirrhifer"
"fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","americanus","Lophius americanus"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Cetengraulis","edentulus","Cetengraulis edentulus"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Cetengraulis","mysticetus","Cetengraulis mysticetus"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Encrasicholina","punctifer","Encrasicholina punctifer"
"fish","Actinopterygii","Perciformes","Labridae","Labrus","bergylta","Labrus bergylta"
"fish","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","griseus","Hexanchus griseus"
"fish","Actinopterygii","Perciformes","Trichiuridae","Lepidopus","caudatus","Lepidopus caudatus"
"fish","Actinopterygii","Perciformes","Trichiuridae","Aphanopus","carbo","Aphanopus carbo"
"fish","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","granulosus","Centrophorus granulosus"
"fish","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","squamosus","Centrophorus squamosus"
"fish","Elasmobranchii","Squaliformes","Dalatiidae","Dalatias","licha","Dalatias licha"
"fish","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","spinax","Etmopterus spinax"
"fish","Actinopterygii","Perciformes","Carangidae","Lichia","amia","Lichia amia"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","limanda","Limanda limanda"
"fish","Actinopterygii","Perciformes","Sparidae","Lithognathus","mormyrus","Lithognathus mormyrus"
"fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","piscatorius","Lophius piscatorius"
"fish","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus","centrina","Oxynotus centrina"
"fish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","argentina","Squatina argentina"
"fish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","californica","Squatina californica"
"fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus","oxyrinchus","Isurus oxyrinchus"
"fish","Actinopterygii","Mugiliformes","Mugilidae","Mugil","cephalus","Mugil cephalus"
"fish","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","isabellum","Cephaloscyllium isabellum"
"fish","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Galeus","melastomus","Galeus melastomus"
"fish","Actinopterygii","Perciformes","Sparidae","Oblada","melanura","Oblada melanura"
